"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1426066","occ","","","198240","Stylemys karakolensis","species","105292","Oligocene","","33.9","23.03","67535"
"1426386","occ","","","180339","Hesperotestudo crassiscutata","species","173079","Rancholabrean","","0.3","0.012","67564"
"1427517","occ","","","92070","Cachuga tectum","species","235424","Pliocene","","5.333","2.588","41531"
"1427519","occ","","","122872","Homopus scutella","species","235279","Sarmatian","","12.7","11.608","41531"
"1427520","occ","","","167274","Homopus comptoni","species","235281","Ypresian","","56","47.8","41531"
"1427521","occ","","","92070","Testudo atlas","species","235272","Pliocene","","5.333","2.588","41531"
"1427522","occ","","","92070","Testudo cautleyi","species","235273","Pliocene","","5.333","2.588","41531"
"1427523","occ","","","92070","Megalochelys sivalensis","species","375519","Pliocene","","5.333","2.588","41531"
"1427525","occ","","","198589","Testudo escheri","species","235276","Middle Miocene","","15.97","11.608","41531"
"1427526","occ","","","32191","Testudo larteti","species","235277","Langhian","Serravallian","15.97","11.62","41531"
"1427527","occ","","","125333","Testudo eurysternum","species","235278","Aquitanian","","23.03","20.44","41531"
"1427539","occ","","","198590","Testudo cernovi","species","238489","Early Pliocene","","5.333","3.6","67604"
"1427893","occ","","","113998","Testudo craverii","species","365832","Messinian","","7.246","5.333","67605"
"1427931","occ","","","70902","Sinohadrianus ezoensis","species","365780","Lutetian","","47.8","41.3","67635"
"1427972","occ","","","49101","Testudo antiqua","species","364327","Burdigalian","","20.44","15.97","67646"
"1427973","occ","","","106003","Testudo kalksburgensis","species","380346","Burdigalian","Langhian","20.44","13.82","67646"
"1427985","occ","","","198614","Testudo antiqua","species","364327","Burdigalian","","20.44","15.97","67646"
"1427986","occ","","","198614","Testudo kalksburgensis","species","380346","Burdigalian","","20.44","15.97","67646"
"1427988","occ","","","198616","Testudo escheri","species","235276","Serravallian","","13.82","11.62","67647"
"1427991","occ","","","198616","Titanochelon vitodurana","species","380347","Serravallian","","13.82","11.62","67647"
"1427992","occ","","","198617","Titanochelon vitodurana","species","380347","Serravallian","","13.82","11.62","67647"
"1429332","occ","","","198863","Chelonoidis australis","species","351849","Montehermosan","","6.8","4","67741"
"1431371","occ","","","175587","Testudo steinheimensis","species","430087","Sarmatian","","12.7","11.608","67851"
"1431372","occ","","","175587","Testudo kalksburgensis","species","380346","Sarmatian","","12.7","11.608","67851"
"1431977","occ","39534","","199755","Testudo lohanica","species","453923","Tortonian","","11.62","7.246","80993"
"1436133","occ","","","200360","Titanochelon gymnesica","species","358119","Late Pliocene","Early Pleistocene","3.6","0.781","68384"
"1446763","occ","","","201933","Indotestudo elongata","species","376557","Holocene","","0.0117","0","69159"
"1446764","occ","","","201933","Manouria emys","species","376559","Holocene","","0.0117","0","69159"
"1446778","occ","","","201936","Indotestudo elongata","species","376557","Holocene","","0.0117","0","69159"
"1448679","occ","36844","","202120","Titanochelon schafferi","species","347950","Late Miocene","","11.608","5.333","72007"
"1449153","occ","","","202213","Testudo marmorum","species","347955","Turolian","","8.7","5.333","69294"
"1450052","occ","","","202324","Testudo kenitrensis","species","388620","Middle Pleistocene","","0.781","0.126","69329"
"1450074","occ","","","202329","Chersine hermanni","species","94333","Pleistocene","","2.588","0.0117","65163"
"1452840","occ","36842","","202630","Testudo marmorum","species","347955","Late Miocene","","11.608","5.333","72005"
"1461443","occ","","","203955","Chelonoidis denticulata","species","132770","Lujanian","","0.781","0.012","69906"
"1463347","occ","","","204220","Paleotestudo antiqua","species","358124","Middle Miocene","","15.97","11.608","69992"
"1463348","occ","","","201475","Paleotestudo antiqua","species","358124","Miocene","","23.03","5.333","69991"
"1463349","occ","","","190006","Paleotestudo antiqua","species","358124","Middle Miocene","Late Miocene","15.97","5.333","69991"
"1463350","occ","","","92640","Paleotestudo antiqua","species","358124","MN 7 + 8","","12.75","11.1","69991"
"1463351","occ","","","204221","Paleotestudo antiqua","species","358124","Middle Miocene","","15.97","11.608","69991"
"1463352","occ","","","204222","Paleotestudo antiqua","species","358124","Middle Miocene","","15.97","11.608","69991"
"1463353","occ","","","204223","Paleotestudo antiqua","species","358124","Middle Miocene","","15.97","11.608","69991"
"1463354","occ","","","204224","Paleotestudo antiqua","species","358124","Middle Miocene","","15.97","11.608","69991"
"1467631","occ","","","78514","Paleotestudo antiqua","species","358124","MN 10","","9.7","8.7","70350"
"1467635","occ","","","204958","Paleotestudo antiqua","species","358124","MN 10","","9.7","8.7","70350"
"1469252","occ","","","205232","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469253","occ","","","205231","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469255","occ","","","205230","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469262","occ","","","205229","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469263","occ","","","205228","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469264","occ","","","205227","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469265","occ","","","205226","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1469266","occ","","","205225","Chersine hermanni","species","94333","Calabrian","","1.806","0.781","70426"
"1470027","occ","","","205285","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","70429"
"1470029","occ","","","205286","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","70429"
"1470031","occ","","","205288","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","70429"
"1470033","occ","","","122309","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","70429"
"1470382","occ","","","205351","Testudo marmorum","species","347955","Turolian","","8.7","5.333","70452"
"1472770","occ","","","145897","Chelonoidis gringorum","species","105264","Colhuehuapian","","21","17.5","64145"
"1474082","occ","","","205815","Titanochelon bolivari","species","268040","Burdigalian","","20.44","15.97","70584"
"1477685","occ","","","206108","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477688","occ","","","206109","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477689","occ","","","206110","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477690","occ","","","206111","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477691","occ","","","206112","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477692","occ","","","206113","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477694","occ","","","206114","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477695","occ","","","206115","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477696","occ","","","206116","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477697","occ","","","206117","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477698","occ","","","206118","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477699","occ","","","206119","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477700","occ","","","206120","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477701","occ","","","206122","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477702","occ","","","206123","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477703","occ","","","206124","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477704","occ","","","206125","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477705","occ","","","206126","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477706","occ","","","206127","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477712","occ","","","206128","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477713","occ","","","206129","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
